LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
GLTP,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,1985,2061,2,in cellulo
GLTP,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,1986,2060,2,in cellulo
GLTP,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,1987,2055,2,in cellulo
GLTP,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,1988,2059,2,in cellulo
GLTP,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,1990,2056,5,in cellulo
GLTP,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,2007,2218,1,in cellulo
GLTP,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,2011,2177,3,in cellulo
GLTP,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,2018,2132,1,in cellulo
GLTP,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,2045,2151,1,in vitro
GLTP,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,2063,2178,3,in vitro
GLTP,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,2066,2179,3,in vitro
GLTP,Phosphatidylglycerol (32:1),3,2069,2197;2220,15,in vitro
GLTP,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,2073,2111,2,in vitro
GLTP,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,2104,2160,2,in vitro
GLTP,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,2107,2157,1,in vitro
GLTP,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,2125,2217,4,in vitro
GLTP,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,2180,2181,2,in cellulo
GLTP,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,2183,2184,2,in cellulo
GLTPD1,Phosphatidylcholine (32:2),2,2226,2483,13,in cellulo
