LTP,Lipid,Lipid Chains,Lipid SMILES,Lipid Volumes (Å3)
GLTP,HexCer(d*36:2),Hexosyl ceramide (d*36:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCC,639.79150000000004
GLTP,HexCer(d*40:1),Hexosyl ceramide (d*40:1),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,693.71849999999995
GLTP,HexCer(d*40:2),Hexosyl ceramide (d*40:2),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/C=C\CCCCCCCCC,693.60199999999998
GLTP,HexCer(d*41:1),Hexosyl ceramide (d*41:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,708.56
GLTP,HexCer(d*42:1),Hexosyl ceramide (d*42:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,721.9140000000001
GLTP,HexCer(d*42:1),Hexosyl ceramide (d42:1) => (d18:1/24:0);Hexosyl ceramide (DH42:1) => (DH18:1/24:0),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,721.9140000000001
GLTP,HexCer(d*42:2),Hexosyl ceramide (d*42:2),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,720.26475000000005
GLTP,HexCer(d*42:2),Hexosyl ceramide (d42:2) => (d18:1/24:1);Hexosyl ceramide (DH42:2) => (DH18:1/24:1),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,720.26475000000005
GLTP,HexCer(d*42:3),Hexosyl ceramide (d*42:3),C([C@H](NC([C@H](O)CCCCCCCCCCCCCCCCCCCCCC)=O)[C@H](O)/C=C/CC/C=C\C=C/CCCCCCC)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1,22.449300000000001
GLTP,HexCer(t*34:1),Hexosyl ceramide (t*34:1),[C@](CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCC,613.28700000000003
